user_id,trips,traj_id
1,"['-73.976498,40.785677,2012-04-08 16:02:10', '-74.00853183,40.71992902,2012-04-09 12:20:52', '-73.99352537,40.73427623,2012-04-09 20:24:31']",train_0
1,"['-73.99494767,40.76066702,2012-04-13 21:11:20', '-73.98672473,40.76410356,2012-04-13 23:07:56', '-73.98606474,40.76064468,2012-04-14 00:45:13', '-73.97406975,40.75673069,2012-04-14 13:45:23', '-73.9686574,40.75881855,2012-04-14 19:15:07', '-73.9686574,40.75881855,2012-04-14 19:15:50']",train_1
1,"['-74.00063396,40.72750268,2012-04-18 22:09:21', '-74.003961,40.720087,2012-04-19 15:02:25', '-74.00611595,40.74131916,2012-04-19 18:51:19', '-74.006264,40.7337627,2012-04-19 21:49:26', '-73.95085242,40.77917988,2012-04-20 20:15:18', '-73.998515,40.729658,2012-04-21 14:48:58', '-73.9879547,40.7254542,2012-04-21 16:18:19', '-73.97452399,40.78401844,2012-04-22 13:33:27']",train_2
1,"['-73.97350073,40.77142562,2012-05-12 14:40:38', '-73.98242,40.776187,2012-05-12 20:01:58', '-73.97948194,40.77662441,2012-05-13 18:07:43']",train_3
1,"['-73.97685908,40.78588891,2012-05-25 21:12:48', '-73.986764,40.719607,2012-05-26 18:44:50', '-73.97948194,40.77662441,2012-05-27 17:25:40', '-73.97422471,40.78863711,2012-05-28 17:20:22']",train_4
2,"['-74.17708482,40.61473455,2012-04-17 19:53:19', '-73.99101958,40.72988184,2012-04-18 08:40:43', '-73.90266895,40.64609878,2012-04-18 13:26:41']",train_5
2,"['-73.99778927,40.72413519,2012-05-04 12:02:23', '-73.84009838,40.66144182,2012-05-04 15:59:06', '-73.86983119,40.65239545,2012-05-04 16:45:17', '-73.91399171,40.64668884,2012-05-05 11:07:51']",train_6
2,"['-73.99104044,40.74064692,2012-05-10 16:43:21', '-73.99930899,40.7221271,2012-05-10 18:17:53', '-73.99822542,40.72387965,2012-05-10 18:23:18', '-73.90266895,40.64609878,2012-05-10 22:56:54', '-73.959323,40.780266,2012-05-11 15:03:59', '-73.96343432,40.76590104,2012-05-11 15:54:39', '-73.91399171,40.64668884,2012-05-12 11:18:58']",train_7
2,"['-73.89869928,40.67692779,2012-05-16 13:22:32', '-73.91399171,40.64668884,2012-05-17 09:08:04', '-73.98856401,40.75061379,2012-05-17 10:44:02']",train_8
2,"['-73.99009926,40.73458619,2012-05-31 11:03:04', '-73.99118391,40.73512291,2012-05-31 11:57:11', '-73.991138,40.73524837,2012-05-31 11:57:46', '-73.99001891,40.73552515,2012-05-31 12:31:55', '-73.99039768,40.73709857,2012-05-31 14:10:16']",train_9
2,"['-73.98802757,40.75650613,2012-06-07 17:42:36', '-73.86983119,40.65239545,2012-06-08 17:07:34', '-73.91399171,40.64668884,2012-06-09 11:22:39']",train_10
2,"['-73.95775191,40.70876622,2012-06-11 20:13:00', '-73.9872929,40.74068572,2012-06-12 11:19:58', '-73.9949486,40.74127131,2012-06-12 12:42:16', '-73.98967713,40.73898202,2012-06-12 18:03:40', '-73.97717535,40.75280621,2012-06-13 14:01:16']",train_11
2,"['-73.91399171,40.64668884,2012-07-02 09:38:49', '-73.90266895,40.64609878,2012-07-02 10:40:48', '-73.98626804,40.75648987,2012-07-02 13:28:32', '-73.98486528,40.75755034,2012-07-02 13:58:48', '-73.91399171,40.64668884,2012-07-03 09:35:36', '-73.97717535,40.75280621,2012-07-03 12:35:21', '-73.98377895,40.58878152,2012-07-03 14:10:19']",train_12
3,"['-73.98799265,40.74583735,2012-05-03 08:59:50', '-73.96909361,40.75521012,2012-05-03 20:22:14', '-73.98799265,40.74583735,2012-05-04 10:10:44']",train_13
3,"['-73.97698575,40.76139684,2012-05-27 10:03:08', '-73.9730883,40.7639385,2012-05-27 13:43:30', '-73.962163,40.779022,2012-05-27 14:59:48', '-73.991733,40.726057,2012-05-28 00:10:56', '-74.00483627,40.74195651,2012-05-28 13:20:09', '-74.01618004,40.71324019,2012-05-28 15:20:46', '-73.995924,40.70159374,2012-05-28 17:42:55', '-73.88410076,40.77370048,2012-05-29 09:08:52']",train_14
4,"['-73.95174265,40.80939181,2012-04-21 10:40:29', '-73.9413925,40.8168158,2012-04-22 08:49:33', '-73.98281336,40.77308313,2012-04-22 19:59:10', '-73.982189,40.774555,2012-04-23 17:07:56', '-73.98281336,40.77308313,2012-04-23 20:09:30', '-73.9413925,40.8168158,2012-04-24 19:15:48', '-73.99154663,40.7572213,2012-04-25 09:23:17']",train_15
